ID,Name,Tags,Emotion,Keywords,Types_Content,Types_Form,Duration,IsDownloaded,Uri,Source,IsWatched,IsLiked,Rank,DateTime
1,究极猛攻！挑战3万元速通曾经火遍全球的海岛奇兵！,第一视角 植物大战僵尸 部落冲突 手游 策略游戏 试玩 皇室战争 海岛奇兵 保卫萝卜 塔防,2,究极 猛攻 挑战 3万元 速通 海岛奇兵 全球 第一视角 植物 大战 僵尸 部落 冲突 手游 策略 游戏 试玩 皇室 战争 海岛 保卫 萝卜 塔防,游戏体育,集锦剪辑,419,0,https://www.bilibili.com/video/BV19uRrYJEaM,0,0,0,0,0
2,【逆天小说桥段】今年上半年最离谱的网文可能都在这里了！？！,幽默 吐槽 #Ai #DeepSeek #问小白 网文 离谱 UP 小剧场 2.0,1,逆天 小说 桥段 上半年 离谱 网文 幽默 吐槽 Ai DeepSeek 问小白 UP 小剧场,其他,搞笑娱乐,329,0,https://www.bilibili.com/video/BV1DzR9Y7ExK,0,0,0,0,0
3,集__束__温__压__弹__！!【C4快乐阴人流#61】,搞笑 游戏集锦 FPS 精彩集锦 电子竞技 绝地求生 吃鸡 PUBG 整活,1,集束 温压 弹 C4 快乐 阴人 搞笑 游戏 集锦 FPS 精彩 电子竞技 绝地求生 吃鸡 PUBG 整活,游戏体育,搞笑娱乐,339,0,https://www.bilibili.com/video/BV1MCR6YMEGL,0,0,0,0,0
5,老板来碗牛肉面，不要面,兰州 美食制作 街头小吃 牛肉面 路边摊 清汤 卤牛肉 BILIBILI美食研究所-踏春尝鲜季,0,老板 牛肉面 兰州 美食 制作 街头 小吃 路边 摊 清汤 卤牛肉 BILIBILI 美食研究所 踏春 尝鲜季,美食出行,讲解议论,726,0,https://www.bilibili.com/video/BV1MdZyY4ENX,0,0,0,0,0
6,人还活着救援方却放弃了，南非斯泰克方丹洞穴潜水事件,探险 魔兽世界 潜水 洞穴 洞穴潜水 洞潜,0,人 活着 救援 方 放弃 南非 斯泰克方丹 洞穴 潜水 探险 魔兽世界 潜水 洞穴 洞潜,探险故事,讲解议论,551,0,https://www.bilibili.com/video/BV1MiRBYNEth,0,0,0,0,0
7,在网吧通宵42个小时，吃9块8的预制菜拼好饭，出网吧感觉濒临升天,生活记录 生活 日常 vlog 电子榨菜 通宵 自由 网吧 网吧大神 春天观察日记——寻找100个宝藏vlogger 2.0,1,生活记录 生活 日常 vlog 电子榨菜 通宵 自由 网吧 网吧大神 春天观察日记 宝藏 vlogger,生活体验,记录拍摄,666,0,https://www.bilibili.com/video/BV19rRvYPESc,0,0,0,0,0
8,200%复刻《熊出没》里的葱花面！,熊大 光头强 美食制作 美食教程 熊出没 熊二 动漫美食 美食复刻 葱花面 BILIBILI美食研究所-踏春尝鲜季,2,复刻 熊出没 葱花面 美食制作 美食教程 熊大 光头强 熊二 动漫美食 美食复刻 BILIBILI美食研究所 踏春尝鲜季,美食出行,教程攻略,175,0,https://www.bilibili.com/video/BV1jXovYCEX7,0,0,0,0,0
9,假公益、真卖惨，建议退圈别再无病呻吟了！《小小的勇气》,综艺 影视剪辑 影评杂谈 小小的勇气 赵露思 娱乐吃瓜大会9.0,-1,假公益 卖惨 退圈 无病呻吟 小小的勇气 综艺 影视剪辑 影评杂谈 赵露思 娱乐吃瓜大会,社会经济,讲解议论,602,0,https://www.bilibili.com/video/BV1hdfFYrEPe,0,0,0,0,0
10,小伙北京出租屋自律生活，终于吃上淄博烧烤啦,生活记录 烧烤 美食vlog 淄博烧烤 外卖 出租屋 Vlog BILIBILI美食研究所-踏春尝鲜季,1,小伙 北京 出租屋 自律 生活 淄博烧烤 美食vlog 外卖 Vlog BILIBILI美食研究所 踏春尝鲜季,生活体验,记录拍摄,296,0,https://www.bilibili.com/video/BV1vNZ2YuE7w,0,0,0,0,0
11,“甲亢哥”中国行：用真实镜头还原立体中国,人物 社会 人文 中国 历史 镜头 甲亢,0,甲亢哥 中国行 人物 社会 人文 中国 历史 镜头 甲亢,社会经济,记录拍摄,496,0,https://www.bilibili.com/video/BV16gRfYkEid,0,0,0,0,0
